Date,Open,High,Low,Close,Adj Close,Volume
2019-02-22,1.595430,1.599780,1.588100,1.595170,1.595170,0
2019-02-25,1.584590,1.589130,1.580700,1.584550,1.584550,0
2019-02-26,1.584100,1.590010,1.582700,1.584200,1.584200,0
2019-02-27,1.583680,1.595830,1.581700,1.583400,1.583400,0
2019-02-28,1.592230,1.603340,1.587930,1.591900,1.591900,0
2019-03-01,1.601630,1.606860,1.598320,1.601250,1.601250,0
2019-03-04,1.602210,1.605360,1.597080,1.601500,1.601500,0
2019-03-05,1.598870,1.603710,1.596600,1.598100,1.598100,0
2019-03-06,1.594600,1.611850,1.594350,1.595200,1.595200,0
2019-03-07,1.608300,1.610390,1.593770,1.608100,1.608100,0
2019-03-08,1.594570,1.600030,1.592900,1.594000,1.594000,0
2019-03-11,1.595920,1.597760,1.590400,1.595550,1.595550,0
2019-03-12,1.591930,1.594980,1.589590,1.591400,1.591400,0
2019-03-13,1.597900,1.601030,1.595680,1.597700,1.597700,0
2019-03-14,1.599020,1.605570,1.599020,1.598760,1.598760,0
2019-03-15,1.599370,1.600120,1.595700,1.599400,1.599400,0
2019-03-18,1.598010,1.598880,1.592600,1.597800,1.597800,0
2019-03-19,1.596960,1.600340,1.594600,1.596200,1.596200,0
2019-03-20,1.601800,1.607390,1.599100,1.601400,1.601400,0
2019-03-21,1.602090,1.602120,1.594600,1.601980,1.601980,0
2019-03-22,1.600230,1.601950,1.588900,1.600590,1.600590,0
2019-03-25,1.595160,1.598080,1.591200,1.595280,1.595280,0
2019-03-26,1.590390,1.590420,1.579380,1.590170,1.590170,0
2019-03-27,1.579600,1.591520,1.578900,1.579200,1.579200,0
2019-03-28,1.589350,1.589970,1.583430,1.588190,1.588190,0
2019-03-29,1.584700,1.586820,1.580450,1.585610,1.585610,0
2019-04-01,1.577670,1.579040,1.574600,1.577840,1.577840,0
2019-04-02,1.575900,1.585560,1.575000,1.575500,1.575500,0
2019-04-03,1.587640,1.587890,1.576200,1.587000,1.587000,0
2019-04-04,1.579830,1.581060,1.576200,1.579810,1.579810,0
2019-04-05,1.578400,1.581110,1.574800,1.578420,1.578420,0
2019-04-08,1.579880,1.583970,1.579700,1.579500,1.579500,0
2019-04-09,1.580530,1.582170,1.575800,1.580300,1.580300,0
2019-04-10,1.580190,1.583330,1.573100,1.580400,1.580400,0
2019-04-11,1.573500,1.580540,1.573000,1.573340,1.573340,0
2019-04-12,1.581100,1.585120,1.573800,1.580910,1.580910,0
2019-04-15,1.576110,1.578880,1.574100,1.575800,1.575800,0
2019-04-16,1.575610,1.583220,1.573500,1.575600,1.575600,0
2019-04-17,1.575050,1.577000,1.569100,1.574940,1.574940,0
2019-04-18,1.574710,1.576490,1.569800,1.574580,1.574580,0
2019-04-19,1.571950,1.573000,1.569920,1.571900,1.571900,0
2019-04-22,1.572700,1.578590,1.572000,1.572600,1.572600,0
2019-04-23,1.579000,1.582740,1.577200,1.578130,1.578130,0
2019-04-24,1.581410,1.595650,1.580680,1.581520,1.581520,0
2019-04-25,1.590000,1.592360,1.587900,1.590120,1.590120,0
2019-04-26,1.587160,1.587870,1.580920,1.586400,1.586400,0
2019-04-29,1.582500,1.584020,1.580100,1.582770,1.582770,0
2019-04-30,1.585250,1.594640,1.583270,1.584900,1.584900,0
2019-05-01,1.591120,1.598050,1.589200,1.590460,1.590460,0
2019-05-02,1.597190,1.598980,1.593600,1.596690,1.596690,0
2019-05-03,1.597550,1.599000,1.591800,1.596700,1.596700,0
2019-05-06,1.604310,1.606170,1.598460,1.603960,1.603960,0
2019-05-07,1.601810,1.602610,1.590490,1.601900,1.601900,0
2019-05-08,1.596450,1.600830,1.594000,1.596300,1.596300,0
2019-05-09,1.601280,1.612030,1.600700,1.601230,1.601230,0
2019-05-10,1.604660,1.607970,1.600300,1.605200,1.605200,0
2019-05-13,1.608950,1.617600,1.607400,1.608520,1.608520,0
2019-05-14,1.617180,1.619550,1.612750,1.617150,1.617150,0
2019-05-15,1.614890,1.619990,1.614360,1.614900,1.614900,0
2019-05-16,1.618020,1.624060,1.617380,1.617800,1.617800,0
2019-05-17,1.621400,1.625130,1.620400,1.621130,1.621130,0
2019-05-20,1.617760,1.617760,1.609400,1.617200,1.617200,0
2019-05-21,1.613340,1.624660,1.612500,1.613700,1.613700,0
2019-05-22,1.621600,1.623690,1.619240,1.621400,1.621400,0
2019-05-23,1.621300,1.623550,1.617500,1.621900,1.621900,0
2019-05-24,1.620600,1.624570,1.617700,1.621020,1.621020,0
2019-05-27,1.617010,1.618570,1.615200,1.617010,1.617010,0
2019-05-28,1.617440,1.618050,1.611600,1.617100,1.617100,0
2019-05-29,1.612250,1.613720,1.608600,1.612380,1.612380,0
2019-05-30,1.609430,1.612230,1.604700,1.609740,1.609740,0
2019-05-31,1.611400,1.614210,1.606600,1.611800,1.611800,0
2019-06-03,1.612550,1.612690,1.606400,1.612390,1.612390,0
2019-06-04,1.613240,1.615240,1.607810,1.613120,1.613120,0
2019-06-05,1.609600,1.614920,1.607900,1.609700,1.609700,0
2019-06-06,1.610400,1.617490,1.608900,1.610950,1.610950,0
2019-06-07,1.616850,1.618480,1.614300,1.616560,1.616560,0
