Date,Open,High,Low,Close,Adj Close,Volume
2019-02-22,7.461050,7.462100,7.460700,7.461010,7.461010,0
2019-02-25,7.460980,7.461800,7.460490,7.461000,7.461000,0
2019-02-26,7.460600,7.461600,7.460550,7.461000,7.461000,0
2019-02-27,7.461270,7.461800,7.460110,7.461010,7.461010,0
2019-02-28,7.460600,7.461600,7.459890,7.460540,7.460540,0
2019-03-01,7.460400,7.461540,7.459830,7.460700,7.460700,0
2019-03-04,7.460600,7.461500,7.459980,7.460690,7.460690,0
2019-03-05,7.460730,7.461900,7.460190,7.460740,7.460740,0
2019-03-06,7.460540,7.461400,7.459870,7.460570,7.460570,0
2019-03-07,7.460130,7.461000,7.459340,7.460200,7.460200,0
2019-03-08,7.458900,7.460900,7.458770,7.459300,7.459300,0
2019-03-11,7.460190,7.461500,7.459670,7.460120,7.460120,0
2019-03-12,7.459250,7.460800,7.458810,7.459260,7.459260,0
2019-03-13,7.459000,7.461570,7.458800,7.458940,7.458940,0
2019-03-14,7.460320,7.462700,7.459310,7.460490,7.460490,0
2019-03-15,7.461010,7.463400,7.460940,7.461100,7.461100,0
2019-03-18,7.462270,7.463100,7.461380,7.462150,7.462150,0
2019-03-19,7.461680,7.462400,7.461110,7.461680,7.461680,0
2019-03-20,7.461310,7.462500,7.461120,7.461600,7.461600,0
2019-03-21,7.462010,7.463400,7.461400,7.461980,7.461980,0
2019-03-22,7.461710,7.462600,7.461170,7.462000,7.462000,0
2019-03-25,7.462200,7.464600,7.461690,7.462200,7.462200,0
2019-03-26,7.462860,7.465400,7.462470,7.462790,7.462790,0
2019-03-27,7.464990,7.466500,7.464740,7.465300,7.465300,0
2019-03-28,7.465790,7.466500,7.462940,7.465690,7.465690,0
2019-03-29,7.464460,7.465600,7.463010,7.464900,7.464900,0
2019-04-01,7.463840,7.465000,7.463010,7.463910,7.463910,0
2019-04-02,7.465050,7.465700,7.463650,7.465210,7.465210,0
2019-04-03,7.464540,7.465100,7.462860,7.464800,7.464800,0
2019-04-04,7.464300,7.464900,7.462890,7.464600,7.464600,0
2019-04-05,7.463550,7.465200,7.463280,7.464000,7.464000,0
2019-04-08,7.465160,7.465400,7.464110,7.465400,7.465400,0
2019-04-09,7.465120,7.465810,7.463950,7.465090,7.465090,0
2019-04-10,7.464420,7.465400,7.462740,7.464470,7.464470,0
2019-04-11,7.465030,7.465600,7.463640,7.465220,7.465220,0
2019-04-12,7.464500,7.464800,7.463250,7.464120,7.464120,0
2019-04-15,7.463360,7.464900,7.462520,7.463380,7.463380,0
2019-04-16,7.460770,7.464700,7.460060,7.462100,7.462100,0
2019-04-17,7.464080,7.465300,7.463280,7.464020,7.464020,0
2019-04-18,7.465220,7.466600,7.464040,7.465230,7.465230,0
2019-04-19,7.466400,7.467100,7.465190,7.466100,7.466100,0
2019-04-22,7.466000,7.466600,7.465230,7.466000,7.466000,0
2019-04-23,7.465900,7.466400,7.464600,7.465660,7.465660,0
2019-04-24,7.465970,7.466700,7.464970,7.466010,7.466010,0
2019-04-25,7.466400,7.466800,7.464990,7.466180,7.466180,0
2019-04-26,7.465590,7.466100,7.463980,7.465560,7.465560,0
2019-04-29,7.465100,7.466000,7.464850,7.465620,7.465620,0
2019-04-30,7.464950,7.466050,7.464370,7.465040,7.465040,0
2019-05-01,7.465430,7.466200,7.463500,7.465900,7.465900,0
2019-05-02,7.465290,7.465900,7.464420,7.465160,7.465160,0
2019-05-03,7.465120,7.466000,7.464440,7.465240,7.465240,0
2019-05-06,7.465330,7.466260,7.464870,7.465410,7.465410,0
2019-05-07,7.465640,7.466500,7.464720,7.465700,7.465700,0
2019-05-08,7.465150,7.465800,7.464550,7.465600,7.465600,0
2019-05-09,7.464730,7.466300,7.464460,7.464620,7.464620,0
2019-05-10,7.465580,7.466300,7.464860,7.465580,7.465580,0
2019-05-13,7.465280,7.467800,7.464880,7.465290,7.465290,0
2019-05-14,7.466660,7.469330,7.466130,7.467000,7.467000,0
2019-05-15,7.466330,7.469580,7.465740,7.466360,7.466360,0
2019-05-16,7.467320,7.468700,7.466180,7.467280,7.467280,0
2019-05-17,7.467800,7.468600,7.466800,7.467470,7.467470,0
2019-05-20,7.467620,7.469400,7.466840,7.467540,7.467540,0
2019-05-21,7.468900,7.469100,7.467400,7.468900,7.468900,0
2019-05-22,7.468100,7.468500,7.466810,7.467670,7.467670,0
2019-05-23,7.466960,7.468500,7.466640,7.467500,7.467500,0
2019-05-24,7.467400,7.468300,7.465900,7.467500,7.467500,0
2019-05-27,7.467510,7.469400,7.467180,7.467500,7.467500,0
2019-05-28,7.465510,7.469000,7.464940,7.465450,7.465450,0
2019-05-29,7.466500,7.469100,7.465010,7.465720,7.465720,0
2019-05-30,7.467810,7.468900,7.467030,7.468400,7.468400,0
2019-05-31,7.467380,7.468200,7.466100,7.467230,7.467230,0
2019-06-03,7.466750,7.468700,7.466080,7.466780,7.466780,0
2019-06-04,7.466730,7.468200,7.454960,7.466800,7.466800,0
2019-06-05,7.467900,7.468500,7.467150,7.467700,7.467700,0
2019-06-06,7.467900,7.468700,7.465980,7.467700,7.467700,0
2019-06-07,7.467010,7.468500,7.465720,7.466980,7.466980,0
2019-06-10,7.467510,7.468480,7.467240,7.467410,7.467410,0
2019-06-11,7.467660,7.469000,7.467480,7.467660,7.467660,0
2019-06-12,7.467610,7.468300,7.466080,7.468000,7.468000,0
2019-06-13,7.467200,7.467900,7.466600,7.467200,7.467200,0
2019-06-14,7.466860,7.467500,7.466350,7.467200,7.467200,0
2019-06-17,7.466810,7.467600,7.466140,7.466850,7.466850,0
2019-06-18,7.467100,7.468300,7.466040,7.466800,7.466800,0
2019-06-19,7.466600,7.467700,7.465770,7.467000,7.467000,0
2019-06-20,7.466160,7.467070,7.465020,7.466500,7.466500,0
2019-06-21,7.465730,7.473530,7.463730,7.465670,7.465670,0
2019-06-24,7.465640,7.466500,7.465160,7.465900,7.465900,0
2019-06-25,7.465540,7.466320,7.464460,7.465540,7.465540,0
2019-06-26,7.465040,7.465600,7.463750,7.465300,7.465300,0
2019-06-27,7.464180,7.464700,7.462860,7.464130,7.464130,0
2019-06-28,7.463410,7.464000,7.462510,7.463700,7.463700,0
2019-07-01,7.464100,7.464900,7.462610,7.464300,7.464300,0
2019-07-02,7.463120,7.464100,7.463000,7.463120,7.463120,0
2019-07-03,7.463800,7.464200,7.462310,7.463540,7.463540,0
2019-07-04,7.462110,7.463400,7.461790,7.462500,7.462500,0
2019-07-05,7.462840,7.463700,7.462220,7.462850,7.462850,0
2019-07-08,7.462400,7.463500,7.460490,7.462440,7.462440,0
2019-07-09,7.461400,7.463500,7.460860,7.461020,7.461020,0
2019-07-10,7.463390,7.464400,7.462610,7.463700,7.463700,0
2019-07-11,7.464800,7.467300,7.463470,7.464700,7.464700,0
2019-07-12,7.466650,7.467300,7.464800,7.466800,7.466800,0
2019-07-15,7.466110,7.467200,7.465370,7.465950,7.465950,0
2019-07-16,7.466350,7.467630,7.465600,7.466320,7.466320,0
2019-07-17,7.466900,7.467620,7.466030,7.466800,7.466800,0
2019-07-18,7.466920,7.467600,7.465930,7.467400,7.467400,0
2019-07-19,7.465100,7.466810,7.464620,7.465170,7.465170,0
2019-07-22,7.464870,7.466200,7.464780,7.465020,7.465020,0
2019-07-23,7.465200,7.466180,7.464370,7.465170,7.465170,0
2019-07-24,7.465600,7.466400,7.464040,7.465010,7.465010,0
2019-07-25,7.465020,7.466670,7.463880,7.465200,7.465200,0
2019-07-26,7.465990,7.468100,7.465200,7.466400,7.466400,0
2019-07-29,7.466740,7.467700,7.465500,7.466620,7.466620,0
2019-07-30,7.466800,7.467700,7.465570,7.466600,7.466600,0
