Date,Open,High,Low,Close,Adj Close,Volume
2019-02-22,9.781170,9.783480,9.755600,9.780800,9.780800,0
2019-02-25,9.749880,9.769910,9.731870,9.750260,9.750260,0
2019-02-26,9.763110,9.787650,9.753890,9.762680,9.762680,0
2019-02-27,9.748020,9.749600,9.703000,9.748960,9.748960,0
2019-02-28,9.722910,9.739990,9.716210,9.723190,9.723190,0
2019-03-01,9.733250,9.760300,9.717380,9.732600,9.732600,0
2019-03-04,9.742300,9.805680,9.741800,9.742140,9.742140,0
2019-03-05,9.808260,9.823350,9.793340,9.809700,9.809700,0
2019-03-06,9.796190,9.827100,9.792630,9.796350,9.796350,0
2019-03-07,9.795110,9.822680,9.782090,9.795670,9.795670,0
2019-03-08,9.826960,9.879260,9.817960,9.826000,9.826000,0
2019-03-11,9.817310,9.824280,9.753690,9.816500,9.816500,0
2019-03-12,9.740350,9.751920,9.723770,9.739780,9.739780,0
2019-03-13,9.745820,9.752400,9.700470,9.746280,9.746280,0
2019-03-14,9.703050,9.732690,9.690900,9.702990,9.702990,0
2019-03-15,9.688470,9.692100,9.669030,9.688310,9.688310,0
2019-03-18,9.659950,9.707460,9.651400,9.659970,9.659970,0
2019-03-19,9.688600,9.707980,9.664220,9.688540,9.688540,0
2019-03-20,9.681130,9.700530,9.676520,9.680400,9.680400,0
2019-03-21,9.702000,9.702860,9.596450,9.702200,9.702200,0
2019-03-22,9.613200,9.683100,9.605500,9.609600,9.609600,0
2019-03-25,9.669370,9.683500,9.636250,9.668800,9.668800,0
2019-03-26,9.651400,9.656430,9.625400,9.652900,9.652900,0
2019-03-27,9.627760,9.728670,9.624290,9.626900,9.626900,0
2019-03-28,9.711100,9.747050,9.704300,9.709780,9.709780,0
2019-03-29,9.698790,9.703020,9.653890,9.696200,9.696200,0
2019-04-01,9.661650,9.668270,9.622930,9.661380,9.661380,0
2019-04-02,9.625550,9.657650,9.618500,9.625740,9.625740,0
2019-04-03,9.635400,9.638000,9.602630,9.637130,9.637130,0
2019-04-04,9.629540,9.648930,9.622430,9.628490,9.628490,0
2019-04-05,9.648750,9.667170,9.644780,9.647800,9.647800,0
2019-04-08,9.656170,9.660710,9.615100,9.655990,9.655990,0
2019-04-09,9.627600,9.640820,9.610800,9.628450,9.628450,0
2019-04-10,9.638530,9.644680,9.573180,9.638530,9.638530,0
2019-04-11,9.578880,9.618160,9.572100,9.578300,9.578300,0
2019-04-12,9.605300,9.628460,9.600240,9.605580,9.605580,0
2019-04-15,9.594140,9.615190,9.592300,9.594240,9.594240,0
2019-04-16,9.597980,9.609380,9.576670,9.597900,9.597900,0
2019-04-17,9.585090,9.599760,9.569000,9.584990,9.584990,0
2019-04-18,9.593000,9.629690,9.567900,9.593480,9.593480,0
2019-04-19,9.561800,9.569880,9.557900,9.562020,9.562020,0
